,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
LINE UP MONTEVIDEO'S PORT ,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
DATE,18-may-21,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ANP & OBRINEL BERTHS - BULK CARRIERS,,,,,,,,,,,,,,,
VSLS,ETA,CARGO,TYPE,SELLER,CHARTERER,PORT OPERATOR,ETB,ETC,ETF,ETS,ORIGIN/DESTINATION,PIER,COMMENTS,DRAFTS,WAITING DAYS
,,,,,,,,,,,, ,,,
MV SM GOSEONG,5/18/21 4:00,11.310,Soybeans,LDC,CARGILL,TGM,5/18/21 10:20,5/18/21 11:15,19/05/2021 AM,19/05/2021 AM,TBC,TGM,LOAD,"12,00",
MV STARA PLANINA,5/8/21 5:00,5.000,Fertilizer,NITRON,NITRON,NOBLEZA,19/05/2021 AM,19/05/2021 PM,21/05/2021 -,21/05/2021 -,EGYPT,C,DISCH,"11,65",
MV DUBAI SUN,5/13/21 16:00,6.000,Fertilizer,NITRON,NITRON,NOBLEZA,19/05/2021 PM,19/05/2021 PM,21/05/2021 -,21/05/2021 -,RUSSIA,C-D,DISCH,"11,28",
MV ND ARISTEIA,5/18/21 17:00,11.253,Soybeans,COFCO,COFCO,TGM,19/05/2021 PM,19/05/2021 PM,21/05/2021 AM,21/05/2021 AM,PAKISTAN / BANGLADESH,TGM,LOAD,"12,00",
MV ZHOUSHAN ISLAND,23/05/2021 -,TBC,Soybeans,CARGILL,LDC,TGM,23/05/2021 -,23/05/2021 -,25/05/2021 -,25/05/2021 -,EGYPT,TGM,LOAD,"12,00",
MV DRAGON SKY,24/05/2021 -,50.000,Wood chips,TBC,TBC,TRANSGRANEL,TBC,TBC,TBC,TBC,CHINA,TBC,LOAD,"10,70",
MV TUO FU 6,25/05/2021 -,TBC,Soybeans,TBC,TBC,TGM,25/05/2021 -,25/05/2021 -,27/05/2021 -,27/05/2021 -,CHINA,TGM,LOAD,"12,00",
MV ADRIENNE,26/05/2021 -,TBC,Fertilizer,NITRON,NITRON,TBC,TBC,TBC,TBC,TBC,ALGERIA,TBC,DISCH,"10,36",
MV YUNA ORCHID,27/05/2021 -,32.600,Petcoke,TBC,TBC,NOBLEZA,TBC,TBC,TBC,TBC,JAMAICA,TBC,DISCH,"9,92",
MV OLYMPOS,27/05/2021 -,TBC,Soybeans,TBC,TBC,TGM,27/05/2021 -,27/05/2021 -,29/05/2021 -,29/05/2021 -,CHINA,TGM,LOAD,"12,00",
MV GOOD LUCK,29/05/2021 -,TBC,Fertilizer,NITRON,NITRON,TBC,TBC,TBC,TBC,TBC,EGYPT,TBC,DISCH,"10,36",
MV MILIN KAMAK,30/05/2021 -,TBC,Fertilizer,NITRON,NITRON,TBC,TBC,TBC,TBC,TBC,EGYPT,TBC,DISCH,"10,36",
MV WESTERN CALLAO,02/06/2021 -,TBC,Fertilizer,NITRON,NITRON,TBC,TBC,TBC,TBC,TBC,CHINA,TBC,DISCH,"10,36",
MV NORD PEAK,07/06/2021 -,16.000,Fertilizer,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,DISCH,"9,00",
MV SEA ODDYSEY,11/06/2021 -,50.000,Wood chips,TBC,TBC,TRANSGRANEL,TBC,TBC,TBC,TBC,CHINA,TBC,LOAD,"10,50",
,,,,,,,,,,,,,,,
ANP - GENERAL/PROJECT CARGO,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
MV MINERAL GENT,5/3/21 5:00,90.000,Wood logs,TBC,TBC,TAMIBEL,08/05/2021 14:50,08/05/2021 19:00,18/05/2021 -,18/05/2021 -,CHINA,C,LOAD,"11,00",
MV AFRICAN WEAVER,5/16/21 12:00,34.000,Wood logs,TBC,TBC,TBC,17/05/2021 04:00,17/05/2021 07:00,22/05/2021 -,22/05/2021 -,CHINA,1/2,LOAD,"10,55",
MV SE CARDI,4/25/21 0:00,36.000,Wood logs,TBC,TBC,TBC,TBC,TBC,TBC,TBC,URUGUAY,TBC,DISCH,"10,80",
MV SHELTER ISLAND,5/17/21 16:00,43.000,Wood logs,TBC,TBC,PLANIR,TBC,TBC,TBC,TBC,CHINA,TBC,LOAD,"10,78",
