 UPDATED LINE UP - MAY 17th 2021.,,,,,
VESSEL,POSITION,SHIFT,QTTY,COMMODITY,DESTINATION
SANTA FE PORT,NIL,,,,
,,,,,
,,,,,
DIAMANTE PORT,,,,,
,,,,,
ELEVATOR BERTH,NIL,,,,
,,,,,
PROVINCIAL BERTH,NIL,,,,
,,,,,
TIMBUES PORT,,,,,
RENOVA TERMINAL,,,,,
NORTHERN BERTH: ,,,,,
UZAVA,ALONGSIDE/ETC 17/05 EPM,LOAD,30000,CSBO,MOROCCO+NIGERIA
ALKAIOS,SAN LORENZO 17/05,LOAD,21000,CSBO,INDIA 
CHIOS STAR,1ST COFCO TIMBUES-RDY 20/05 TBC,LOAD,16000,CSBO,EGYPT
HEMUS,1ST DISCH-RDY TBC,LOAD,33000,MAIZE,EGYPT
AQUAPISCES,RECALADA 22/05,LOAD,45000,MAIZE,SOUTH KOREA
STI WESTMINSTER,RECALADA 22/05,LOAD,18000,CSBO,INDIA+BANGLADESH
BW MATSUYAMA,RECALADA 22/05,LOAD,52800,SBM,POLAND
HYDERABAD,RECALADA 24/05,LOAD,44000,MAIZE,EGYPT
ALPINE LEGEND,RECALADA 25/05,LOAD,32000,CSBO,IRAN
,,,,,
SOUTHERN BERTH: ,,,,,
DORIC WARRIOR,ALONGSIDE/ETC 18/05 EPM,LOAD,49500,SBM,VIETNAM
GLORIOUS KAURI,AT ROADS-UNDER INSPECTION,LOAD,15000+5000,SBM+SHPL,NEW ZELAND
GENOA,RECALADA 18/05,LOAD,24200+9000,SBM+SHPL,IRELAND
NAVIG8 SPICA,AT MINERA ALUMBRERA-RDY 18/05 TBC,LOAD,2000,LECITHIN,HOLLAND 
PEDHOULAS COMMANDER,1ST SAN NICOLAS-RDY 22/05 TBC,LOAD,44000+8800,SBM+SHPL,HOLLAND+LATVIA
RANGAKU,RECALADA 22/05,LOAD,44000,SBM,AUSTRALIA
STRATEGIC VISION,RECALADA 25/05,LOAD,24300+6600,SBM+SHPL,ISRAEL+CYPRUS
PODLASIE,RECALADA 25/05,LOAD,33000,SBM,POLAND
,,,,,
ANNOUNCED:,NIL,,,,
,,,,,
LDC TERMINAL,,,,,
PACIFIC GOLD,ALONGSIDE/ETC 17/05 EPM,LOAD,16000,CSBO,INDIA+BANGLADESH
ANNI SELMER,AT ROADS,LOAD,40000,PY+ARG SBM,CHILE
KMARIN GOTEBORG,SAN LORENZO 17/05,LOAD,45000,MAIZE,VIETNAM
NORD AGANO,RECALADA 17/05,LOAD,39000,SBM  ,POLAND
,,,,,
COFCO ARGENTINA S.A.- FLOATING/NORTHERN BERTH: ,,,,,
DAIWAN DOLPHIN,ALONGSIDE/ETC 18/05 EVE,DISCH,8000,UREA,EGYPT
CHIOS STAR,SAN LORENZO 18/05,LOAD,9000,CSBO,EGYPT
AMELIE,1ST PROFERTIL-RDY 24/05 TBC,DISCH,3300,MAP,TBC
CHUMERNA,1ST COFCO PGSM-RDY 28/05 TBC,DISCH,6600,UREA,TBC
,,,,,
COFCO ARGENTINA S.A.- SOUTHERN BERTH:                ,,,,,
LBC ENERGY,ALONGSIDE/ETC 18/05 AM,LOAD,24200,SBM,CUBA
HING CHANG HAI,AT RECALADA,LOAD,40000,SBM,ITALY
CONON,RECALADA 19/05,LOAD,23000+16000,SBM+SHPL,IRELAND
INTERLINK PROBITY,RECALADA 19/05,LOAD,19800+11345,WHEAT+MAIZE,SENEGAL+MALI
,,,,,
ACA TIMBUES BERTH:  ,,,,,
CS JADEN,ALONGSIDE/ETC 18/05 PM,LOAD,30000,SORGHUM,CHINA
ORION III,SAN LORENZO 18/05,LOAD,35000,SORGHUM,CHINA
WEST BAY,AT RECALADA,LOAD,40000,MAIZE,ALGERIA
,,,,,
TRANSSHIPMENT AT ROADS,,,,,
,,,,,
AGD TIMBUES,,,,,
INTERLINK EQUALITY,ALONGSIDE/ETC 17/05 PM,LOAD,30000,SORGHUM,CHINA
SFL SARA,RECALADA 19/05,LOAD,20000+10000,MAIZE+WHEAT,CHILE
GRANT GRACE,RECALADA 20/05,LOAD,19000,MAIZE,EGYPT
GRAECIA AETERNA,RECALADA 28/05,LOAD,20000,MAIZE,SOUTH KOREA
LAURITZEN (TBC),RECALADA 01/06,LOAD,30000,SORGHUM,TBC
,,,,,
SAN LORENZO PORT,,,,,
PROFERTIL BERTH,,,,,
ECO TIDE,ALONGSIDE/ETC 17/05 MIDNIGHT,DISCH,7037,MAP,MOROCCO
AMELIE,1ST SAN NICOLAS-RDY 22/05 TBC,DISCH,5000,MAP+DAP,TBC
CHUMERNA,1ST COFCO TIMBUES-RDY 30/05 TBC,DISCH,1250,UREA,EGYPT
STARA PLANINA,1ST SAN NICOLAS-RDY 02/06 TBC,DISCH,7900,UREA+GSSP,TBC
LA CHESNAIS,1ST SAN NICOLAS-RDY 02/06 TBC,DISCH,5000,MAP,TBC
FJM GLORY,1ST NECOCHEA-RDY 11/06 TBC,DISCH,21466,UREA,OMAN
DUBAI SUN,1ST SAN NICOLAS-RDY 11/06 TBC,DISCH,1800,AMSUL,TBC
BOZBORUN - M,ETA TBC,DISCH,2500,AMN,CHINA
,,,,,
MINERA ALUMBRERA BERTH,,,,,
NAVIG8 SPICA,ALONGSIDE/ETC 17/05 PM,LOAD,2000,OLEINA,HOLLAND
SWIFT WINCHESTER,RECALADA 17/05,LOAD,16000,CSBO,INDIA
NCC HAIEL,RECALADA 18/05,LOAD,7300,CSBO,PAKISTAN
LOUIE,RECALADA 01/06,LOAD,26000,CSBO,EGYPT+ALGERIA
PACIFIC COBALT,RECALADA 02/06,LOAD,16500,CSBO,EGYPT 
,,,,,
TERMINAL 6,,,,,
NORTHERN BERTH: ,,,,,
RONG MAY,ALONGSIDE,LOAD,20000+32000,MAIZE+SBM,UAE
,,,,,
SOUTHERN BERTH:       ,,,,,
ARMONIA A,ALONGSIDE/ETC 18/05 EPM,LOAD,45000,SBM,VIETNAM
OSAKA STAR,AT ROADS,LOAD,40000+9000,MAIZE+SBM,VIETNAM
HAKATA QUEEN,AT ROADS,LOAD,16000+25000,SHPL+SBM,SPAIN
BULK PARAGUAY,AT ROADS,LOAD,40000,MAIZE,CHILE
HANZE GENDT,AT SNA NICOLAS ROADS,LOAD,30000,SBM,BIELORUSSIA
ENDURANCE SW,AT RECALADA,LOAD,39100,SBM,ECUADOR
PRABHU YUVIKA,RECALADA 18/05,LOAD,25641+24000,MAIZE+SBM,MALAYSIA
SASEBO GLORY,RECALADA 18/05,LOAD,40000,SBM  ,SPAIN
VIGOROUS,1ST DISCH-RDY TBC,LOAD,18000+12000,SBM+SHPL,TUNISIA
,,,,,
ANNOUNCED:,,,,,
I MARIA,RECALADA 22/05,LOAD,30000,SBM,LEBANON
TOP ELEGANCE,RECALADA 25/05,LOAD,25000+11000,MAIZE+SBM,MALAYSIA+BRUNEI
DK INITIO,RECALADA 26/05,LOAD,25000+15000,MAIZE+SBM,PERU
SANTA INES,RECALADA 26/05,LOAD,40000,SBM,ITALY
NAUTICAL RUNA,RECALADA 29/05,LOAD,40000,SBM,PHILLIPPINES
MELISSUS,RECALADA 01/06,LOAD,50000,SBM,IRAN
POLA DEVORA,1ST DISCH-RDY TBC,LOAD,30000,SBM,BIELORUSSIA
,,,,,
ARAUCO ARGENTINA SA (EX ALTO PARANA),,,,,
LINCOLN PARK,ALONGSIDE/ETC 18/05 AM,LOAD,12500,CSBO,PERU
TORM HORIZON,AT ROADS,LOAD,26000,CSBO,INDIA+BANGLADESH
STI AMBER,1ST VICENTIN-RDY 20-21/05 TBC,LOAD,5000,CSBO,INDIA 
CONDOR TRADER,RECALADA 17/05 ,LOAD,5000,BO CSBO+CSBO,COLOMBIA
TORM THOR,RECALADA 21/05,LOAD,18000,CSBO,CHINA
,,,,,
QUEBRACHO TERMINAL:,,,,,
SUZANNA D,RECALADA 19/05,LOAD,11000+19337,MAIZE+SBM,GHANA+IVORY COAST
CAMILA,RECALADA 22/05,LOAD,10980+13552,SBM+BO SBM,ECUADOR
BOSTON HARMONY,RECALADA 22/05,LOAD,23000+11000,MAIZE+SBM,COLOMBIA
