LINEUP NUEVA PALMIRA PORT,,,,,,,,,,,
,,,,,,,,,,,
DATE,26-Jun-18,,,,,,,,,,
,,,,,,,,,,,
TERMINAL NAVIOS,,,,,,,,,,,
VSLS,ETA   MVDO,,CARGO,COMMODITY,SHIPPER ,CHARTERER,ETB,ETC,ETF,ETS,DESTINATION
,,,,,,,,,,,
,,,,,,,,, ,,
MV Venture Dylan ,26/06/18 pm,,"31,800",sbs py,SODRUGESTVO ,SCNAMILLS,26/06 nite,26/06 nite,28/06 am,28/06 am,RUSSIA
MV Orient Peony ,27/06/18 nite,,"40,750",sbm py,ADM ,TOEPPER,28/06 lpm,28/06 lpm,30/06 pm,30/06 pm,HOLANDA - ALEMANIA
Convoy Taguato ,28-06-18,Carga soja a barcaza,"13,000",sbs uy,LDC UY,LDC UY,30/06 lpm,30/06 lpm,01/07 noon,01/07 noon,ARGENTINA
Convoy Valentina H ,29-06-18,Carga soja a barcaza,"15,000",sbs uy,LDC UY,LDC UY,01/07 pm,01/07 pm,02/07 noon,02/07 noon,ARGENTINA
MV Spl Atacama ,29-06-18,,"29,085",sbm py + sbp Bol ,ADM ,TBC,02/07 am,02/07 am,04/07 eam,04/07 eam,PERU - CALLAO - SALAVERRY 
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
TERMINAL NAVIOS - IRON ,,,,,,,,,,,
VSLS,ETA   MVDO,,CARGO,COMMODITY,SHIPPER ,CHARTERER,ETB,ETC,ETF,ETS,DESTINATION
,,,,,,,,,,,
,,,,,,,,, ,,
MV Em Ruby ,27-06-18,,"38,500",Mangensse,VALE INTERNATIONAL,VALE INTERNATIONAL,28/06 am,28/06 am,29/06 pm,29/06 pm,BRASIL
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ANP /  TGU NORTH PIER,,,,,,,,,,,
VSLS,ETA   MVDO,ARRIVED AT NP,CARGO,COMMODITY,SHIPPER / RECEIVER,CHARTERER,ETB,ETC,ETF,ETS,ORIGIN / DESTINATION
TGU NORTH PIER,,,,,,,,,,,
,,,,,,,,,,,
VSLS,ETA   MVDO,ARRIVED AT NP,CARGO,COMMODITY,SHIPPER / RECEIVER,CHARTERER,ETB,ETC,ETF,ETS,ORIGIN / DESTINATION
,,,,,,,,,,,
MV Brigitte ,25-06-18,,"10,995",fertilizer - mop ,MOSAIC ,TBC,26/06 lpm,26/06 lpm,28/06 pm,28/06 pm,CANADA
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ANP  SOUTH PIER,,,,,,,,,,,
VSLS,ETA   MVDO,ARRIVED AT NP,CARGO,COMMODITY,SHIPPER / RECEIVER,CHARTERER,ETB,ETC,ETF,ETS,ORIGIN / DESTINATION
,,,,,,,,,,,
,,,,,,,,,,,
MV Helga Bulker ,25-06-18,,"15,000",Pine logs ,BonusGold ,TBC,26/06 am,26/06 am,28/06 eam,28/06 am,CHINA
MV Legiony Polskie ,02-07-18,,"9,500",fertilizer,MACCIO - ,NITRON,03/07 am,03/07 am,05/07 pm,05/07 pm,LITUANIA
MV Ben Nevis,07-07-18,,"14,997",fertilizer,MOSAIC ,TBC,28/06 am,28/06 am,01/07 am,01/07 am,CANADA
,,,, , ,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ONTUR,,,,,,,,,,,
VSLS,ETA   MVDO,ARRIVED AT NP,CARGO,COMMODITY,SHIPPER ,CHARTERER,ETB,ETC,ETF,ETS,DESTINATION/ORIGIN
,,,,,,,,,,,
,,,,,,,,,,,
MV Northern Confidence,26-06-18,,"13,800",rice py,TRS TRADING ,INS. DE MERCADEO AGROPECUARIO,27/06 am,27/06 am,30/06 pm,30/06 pm,PARAGUAY
MV Euros Venture ,02-07-18,,"34,322",Steam Coal ,TBC,TBC,03/07 am,03/07 am,08/07 am,08/07 am,PARAGUAY
,,,,,,, ,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"FTS  ""Fiorucci International""",,,,,,,,,,,
,,,,,,,,,,,
VSLS,ETA,ARRIVED AT FTS,CARGO,COMMODITY,SHIPPER ,CHARTERER,ETB,ETC,ETF,ETS,DESTINATION/ORIGIN
,,,,,,,,,,,
,,,,,,,,,,,
Nil,,,,,,,,,,,
,,",",,,,,,,,, 
