QUEQUEN,,,,,,,,
,,,,,,,,
PIER 3 ACA C.L.-,,,,,,,,
VESSEL AT PORT,(LOA),SHIPPER,TONS,CARGO,DESTINATION,ARRIVED,AT PORT,ETD
HEDVIG BULKER,175 mtrs,ACA,"27,825",BARLEY/M,COLOMBIA,19/06 0924 HS,22/06 1325 HS,27/06 AM
VESSEL AT ROADS,(LOA),SHIPPER,TONS,CARGO,DESTINATION,ARRIVED,ETB,ETD
TW JIANGSU,229 mtrs,COFCO,"19,850",MAIZE,VIETNAM,22/06 1235 HS,27/06 AM,30-Jun
VESSEL ANNOUNCED,(LOA),SHIPPER,TONS,CARGO,DESTINATION,ETA,ETB,ETD
ADRIATICA GRAECA,229 mtrs,AMAGGI,"41,000",SBS,CHINA,30-Jun,30-Jun,04-Jul
,,,,,,,,
,,,,,,,,
PIER 4/5 TQQ S.A.-,,,,,,,,
VESSEL AT PORT,(LOA),SHIPPER,TONS,CARGO,DESTINATION,ARRIVED,AT PORT,ETD
ALBANY SOUND,170 mtrs,MALTERIA PAMPA,"24,492",BARLEY/M,BRAZIL,17/06 1900 HS,20/06 2050 HS,26/06 AM
VESSEL AT ROADS,(LOA),SHIPPER,TONS,CARGO,DESTINATION,ARRIVED,ETB,ETD
NIL,,,,,,,,
VESSEL ANNOUNCED,(LOA),SHIPPER,TONS,CARGO,DESTINATION,ETA,ETB,ETD
AQUATAURUS,198 mtrs,LDC,"16,640",MAIZE,MALAYSIA,26/06 NOON,26/06 TBC,27-Jun
,,,,,,,,
,,,,,,,,
PIER 6 TQQ S.A.-,,,,,,,,
VESSEL AT PORT,(LOA),SHIPPER,TONS,CARGO,DESTINATION,ARRIVED,AT PORT,ETD
STENAWECO CATERINA C.,183 mtrs,OMHSA,"25,000",SFO,MEXICO,20/06 2330 HS,21/06 0210 HS,27/06 EAM
VESSEL AT ROADS,(LOA),SHIPPER,TONS,CARGO,DESTINATION,ARRIVED,ETB,ETD
NIL,,,,,,,,
VESSEL ANNOUNCED,(LOA),SHIPPER,TONS,CARGO,DESTINATION,ETA,ETB,ETD
NIL,,,,,,,,
,,,,,,,,
,,,,,,,,
PIER 1(Sitio 0 / Open pier),,,,,,,,
VESSEL AT PORT,(LOA),SHIPPER,TONS,CARGO,DESTINATION,ARRIVED,AT PORT,ETD
BETTYS BEAUTY,229 mtrs,COFCO,"28,476",SBS,CHINA,17/06 1450 HS,22/06 1215 HS,27/06 PM
VESSEL AT ROADS,(LOA),SHIPPER,TONS,CARGO,DESTINATION,ARRIVED,ETB,ETD
NIL,,,,,,,,
VESSEL ANNOUNCED,(LOA),SHIPPER,TONS,CARGO,DESTINATION,ETA,ETB,ETD
CEMTEX HONOR,229 mtrs,OMHSA,"20,222",SFMP,SAUDI ARABIA,28-Jun,28-Jun,02-Jul
PANTHER MAX,229 mtrs,OMHSA-VICENTIN,"8,800",SFMP-SBM,DENMARK,29-Jun,02-Jul,04-Jul
IOLI,229 mtrs,CHS-MOLCA,"9,900",MAIZE,OMAN,02-Jul,04-Jul,05-Jul
CITRON,183 mtrs,TBC,TBC,UAN,LITHUANIA,16-Jul,16-Jul,17-Jul
,,,,,,,,
,,,,,,,,
PIER 10 (OPEN BERTH),,,,,,,,
VESSEL AT PORT,(LOA),RECEIVER,TONS,CARGO,ORIGIN,ARRIVED,AT PORT,ETD
SANTA FRANCESCA,200 mtrs,COFCO-MOLCA-PROFERTIL-YPF,"15,500",DAP-MAP, MOROCCO,22/06 1336 HS,23/06 2000 HS,02-Jul
VESSEL AT ROADS,(LOA),RECEIVER,TONS,CARGO,ORIGIN,ARRIVED,ETB,ETD
NIL,,,,,,,,
VESSEL ANNOUNCED,(LOA),RECEIVER,TONS,CARGO,ORIGIN,ETA,ETB,ETD
SARIKA NAREE,200 mtrs,COFCO-MOLCA-LDC,"10,000",UREA,RUSSIA,08-Jul,08-Jul,11-Jul
ASIA PEARL V,180 mtrs,ACA-BUNGE,"6,100",DAP-MAP-MES9,U.S.A.,11-Jul,11-13/07,13-16/07
ROOK,200 mtrs,ACA,"7,000",DAP,RUSSIA,11-Jul,11-13/07,13-16/07
,,,,,,,,
,,,,,,,,
PIER 12  (BUNKERING SUPPLY FOR POWER STATION),,,,,,,,
VESSEL,(LOA),RECEIVER,TONS,CARGO,DESTINATION,ARRIVED/ETA,AT PORT/ETB,ETD
NIL,,,,,,,,
,,,,,,,,
,, ,,,,,,
